"manufacturer" "model" "description" "euro_standard" "transmission_type" "engine_capacity" "fuel_type" "urban_metric" "extra_urban_metric" "combined_metric" "noise_level" "co2" "co_emissions" "nox_emissions"
"Daihatsu" "Charade" "L251 1.0L EFi" "4" "Manual" 989 "Petrol" 6 4.1 4.8 70.2 114 394 18
"Vauxhall" "Insignia 4 Door Saloon, Model Year 2010" "2.0CDTi 130PS" "5" "Automatic" 1956 "Diesel" 9.2 5.1 6.6 74 174 66 154
"Mazda" "CX-5 Model Year 2012" "2.2 SKYACTIV-D (150PS) 4WD" "6" "Manual" 2191 "Diesel" 6 4.7 5.2 71.1 136 97 68
"Mercedes-Benz" "M-Class Model Year 2012" "ML 250 BLUETEC 4MATIC with 18 inch/19 inch rear wheels" "6" "Automatic" 2143 "Diesel" 7.3 5.6 6.3 73 165 246 52
"Honda" "Accord Coupé (2000 YM)" "2.0i ES Coupé" "3" "Automatic" 1997 "Petrol" 14 7.6 10 72.2 235 1268 39
"Vauxhall" "Signum, MY2004" "2.0 16v Turbo Design 5 Door Hatchback From VIN: W0L0ZCF4841000318" "4" "Manual" 1998 "Petrol" 13.1 6.9 9.2 73 221 731 14
"Alfa Romeo" "Alfa 159 Sportwagon" "2.4 JTDM Qtronic" "4" "Automatic" 2387 "Diesel" 11.8 6 8.1 72 215 172 210
"Skoda" "Octavia Estate" "vRS 2.0 TDI PD 170bhp with DPF" "4" "Manual" 1968 "Diesel" 7.9 4.8 5.9 74 156 78 211
"Audi" "New A6 Saloon" "3.0 TFSI 300PS quattro S-Tronic" "5" "Automatic" 2995 "Petrol" 10.8 6.6 8.2 74 190 264 24
"MG Rover Group" "Rover 75 Saloon" "2.0 D - 96kW" "3" "Manual" 1951 "Diesel" 8.1 4.4 5.8 73 163 200 300
"Vauxhall" "Frontera, Model Year 2002" "3.2i V6 24v (5-door)" "3" "Automatic" 3165 "Petrol" 19.8 11.2 14.3 76 344 500 100
"Ford" "Fiesta" "1.3 EFi (13 inch tyre)" "3" "Manual" 1299 "Petrol" 8.7 5.9 6.9 72 161 660 95
"BMW" "X6 Series E71" "X6 M" "5" "Automatic" 4395 "Petrol" 19.3 10.8 13.9 73 325 417 24
"Citroen" "C4" "e-HDi 110 Airdream EGS6 Exclusive" "5" "Automatic" 1560 "Diesel" 4.9 3.8 4.2 71.8 109 281 135
"BMW" "3 Series E90/E91/E92/E93" "335i Convertible - from September 2008" "4" "Automatic" 2979 "Petrol" 12.8 7 9.1 74 217 168 6
"Volkswagen" "Polo" "1.2 60PS S" "5" "Manual" 1198 "Petrol" 7.3 4.5 5.5 73 128 696 42
"Chevrolet" "Aveo, MY2011" "1.2S 5 Door Hatchback (with A/C)" "5" "Manual" 1206 "Petrol" 7.1 4.6 5.5 70.1 130 498 16
"Mercedes-Benz" "Viano (639)" "3.5 High Roof" "4" "Automatic" 3724 "Petrol" 18.2 10.3 13.2 73 315 159 25
